date,WDC stock,isPartial
2016-11-01,47,False
2016-11-02,61,False
2016-11-03,45,False
2016-11-04,63,False
2016-11-05,35,False
2016-11-06,25,False
2016-11-07,90,False
2016-11-08,30,False
2016-11-09,83,False
2016-11-10,100,False
2016-11-11,63,False
2016-11-12,35,False
2016-11-13,34,False
2016-11-14,90,False
2016-11-15,75,False
2016-11-16,91,False
2016-11-17,76,False
2016-11-18,39,False
2016-11-19,35,False
2016-11-20,17,False
2016-11-21,81,False
2016-11-22,59,False
2016-11-23,60,False
2016-11-24,31,False
2016-11-25,54,False
2016-11-26,51,False
2016-11-27,0,False
2016-11-28,71,False
2016-11-29,86,False
2016-11-30,65,False
